X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,P,P,P,P,P,P,H,H,H,H
X,X,X,X,X,X,X,X,X,X,X,X
X,X,P,P,P,P,P,P,H,H,H,H
X,X,X,X,X,X,X,X,X,X,X,X
X,X,H,H,H,P,P,H,H,H,H,H
X,X,X,X,X,X,X,X,X,X,X,X
X,X,D,D,D,D,D,D,D,D,H,H
X,X,X,X,X,X,X,X,X,X,X,X
X,X,P,P,P,P,P,H,H,H,H,H
X,X,X,X,X,X,X,X,X,X,X,X
X,X,P,P,P,P,P,P,H,H,H,H
X,X,X,X,X,X,X,X,X,X,X,X
X,X,P,P,P,P,P,P,P,P,P,R
X,X,X,X,X,X,X,X,X,X,X,X
X,X,P,P,P,P,P,S,P,P,S,S
X,X,X,X,X,X,X,X,X,X,X,X
X,X,S,S,S,S,S,S,S,S,S,S
X,X,X,X,X,X,X,X,X,X,X,X
X,X,P,P,P,P,P,P,P,P,P,P
