X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X
X,X,H,H,H,D,D,H,H,H,H,H
X,X,H,H,H,D,D,H,H,H,H,H
X,X,H,H,D,D,D,H,H,H,H,H
X,X,H,H,D,D,D,H,H,H,H,H
X,X,H,D,D,D,D,H,H,H,H,H
X,X,D,D,D,D,D,S,S,H,H,H
X,X,S,S,S,S,D,S,S,S,S,S
X,X,S,S,S,S,S,S,S,S,S,S
X,X,S,S,S,S,S,S,S,S,S,S
X,X,X,X,X,X,X,X,X,X,X,X
